#
#
#Copyright 2008, Bill Bennett
# Part of the Posda package
# Posda may be copied only under the terms of either the Artistic License or the
# GNU General Public License, which may be found in the Posda Distribution,
# or at http://posda.com/License.html
#
#         uid                | ref | encap | deflated | vax | explicit | short_len | std | RET |     Name                                                                              |Default for                                           | Doc     |
1.2.826.0.1.3680043.2.494.1.1| f   | f     | f        |  f  |    f     |    f      |  f  |  f  | Implicit VR Big Endian                                                                |                                                      |         |
1.2.840.10008.1.2            | f   | f     | f        |  t  |    f     |    f      |  t  |  f  | Implicit VR Little Endian                                                             | DICOM                                                | PS 3.5  |
1.2.840.10008.1.2.1          | f   | f     | f        |  t  |    t     |    t      |  t  |  f  | Explicit VR Little Endian                                                             |                                                      | PS 3.5  |
1.2.840.10008.1.2.1.99       | f   | f     | t        |  t  |    t     |    t      |  t  |  f  | Deflated Explicit VR Little Endian                                                    |                                                      | PS 3.5  |
1.2.840.10008.1.2.2          | f   | f     | f        |  f  |    t     |    t      |  t  |  f  | Explicit VR Big Endian                                                                |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.50       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG Baseline (Process 1)                                                             | Lossy JPEG 8 Bit Image Compression                   | PS 3.5  |
1.2.840.10008.1.2.4.51       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG Extended (Process 2 & 4)                                                         | Lossy JPEG 12 Bit Image Compression (Process 4 only) | PS 3.5  |
1.2.840.10008.1.2.4.52       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Extended (Process 3 & 5)                                                         |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.53       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Spectral Selection, Non-hierarchical (Process 6 & 8)                             |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.54       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Spectral Selection, Non-hierarchical (Process 7 & 9)                             |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.55       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Full Progression, Non-hierarchical (Process 10 & 12)                             |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.56       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Full Progression, Non-hierarchical (Process 13)                                  |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.57       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG Lossless, Non-hierarchical (Process 14)                                          |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.58       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Lossless, Non-hierarchical (Process 15)                                          |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.59       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Extended, Hierarchical (Process 16 & 18)                                         |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.60       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Extended, Hierarchical (Process 17 & 19)                                         |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.61       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Spectral Selection, Hierarchical (Process 20 & 22)                               |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.62       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Spectral Selection, Hierarchical (Process 21 & 23)                               |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.63       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Full Progression, Hierarchical (Process 24 & 26)                                 |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.64       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Full Progression, Hierarchical (Process 25 & 27)                                 |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.65       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Lossless, Hierarchical (Process 28)                                              |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.66       | f   | t     | f        |  t  |    t     |    t      |  t  |  t  | JPEG Lossless, Hierarchical (Process 29)                                              |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.70       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG Lossless, Non-hierachchial, 1st Order Prediction (Process 14 [Selection Value 1])| Lossless JPEG Image Compression                      | PS 3.5  |
1.2.840.10008.1.2.4.80       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG-LS Lossless Image Compression                                                    |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.81       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG-LS Lossy (Near-Lossless) Image Compression                                       |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.90       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG 2000 Image Compression (Lossless Only)                                           |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.91       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG 2000 Image Compression                                                           |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.92       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG 2000 Part 2 Multi-component Image Compression (Lossless Only)                    |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.93       | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | JPEG 2000 Part 2 Multi-component Image Compression                                    |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.94       | t   | f     | f        |  t  |    t     |    t      |  t  |  f  | JPIP Referenced                                                                       |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.95       | t   | f     | t        |  t  |    t     |    t      |  t  |  f  | JPIP Referenced Deflate                                                               |                                                      | PS 3.5  |
1.2.840.10008.1.2.5          | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | RLE Lossless                                                                          |                                                      | PS 3.5  |
1.2.840.10008.1.2.4.100      | f   | t     | f        |  t  |    t     |    t      |  t  |  f  | MPEG2 Main Profile @ Main Level                                                       |                                                      | PS 3.5  |
