error list,fixes
"(0x0005,0x0059) LO PrivateCreator - Error - Private creator is not LO VR; Explicit <PN> Overriding VR with <LO>","(0x0005,0x0059) LO PrivateCreator - Error - Private creator is not LO VR; Explicit <PN> Overriding VR with <LO>  %%% FIX IS - delete tag %%%"
LO PrivateCreator  - Error - Bad private owner value - element must be greater than or equal to 0x0010,"LO PrivateCreator  - Error - Bad private owner value - element must be greater than or equal to 0x0010 
***There will be a value in parenthesis preceeding the error, for example: (0x0005,0x0005) LO PrivateCreator  - Error - Bad private owner value - element must be greater than or equal to 0x0010***
%%% FIX IS -  (NOTE: this is the same fix for all private tags with this DCIODVFY error ""Bad private owner value"").
A. set_tag <(0010,0030)> <01021900> <> (Note: the set_tag edit does not have to be for this specific tag, any edit will ""force"" Posda to update the series associated with error. You can use any tag that is not important to the collection, such as the Accession Number DICOM tag; the value in the set_tag is not important as long as it is consistent with the VR).
delete_tag <(0005,0005)> <> <> (Note: replace the tag with the appropriate Private tag as indicated in the error e.g. 0x0005, 0x0005 is equivalent to Private tag 0005,0005)
B. Run BackgroundEditTP and import edits
C. If necessary, remember to fix the tag that was set in A, in this example, empty_tag <(0010,0030)> (Note: this must be the same tag that was set in A to ""force"" Posda to update the series.) %%%"
"Attribute with an odd group number is not in a legal private group - (0x0005,0x0005) LO PrivateCreator","Attribute with an odd group number is not in a legal private group - (0x0005,0x0005) LO PrivateCreator %%% FIX IS -  delete tag %%%"
Code Value is illegal or deprecated - attribute <CodeValue> = ,"Code Value is illegal or deprecated - attribute <CodeValue> =  %%% FIX IS - This code is no longer in use. Look up the appropriate sequence where this value appears and amend the code value (0008,0100) and coding scheme designator(0008,0102) to proper values. https://dicom.nema.org/medical/dicom/2014c/output/chtml/part16/sect_CID_4014.html. %%%"
Bad attribute Value Multiplicity 3 (4 Required by Module definition) Element=<FrameType> Module=<CTImageFrameTypeMacro>,"Bad attribute Value Multiplicity 3 (4 Required by Module definition) Element=<FrameType> Module=<CTImageFrameTypeMacro> %%% FIX IS - This is an enhanced CT volume and so it needs 4 entries here:
B. set_tag <..(0008,9007)[0]> <ORIGINAL>
C. set_tag <..(0008,9007)[1]> <PRIMARY>
D. set_tag <..(0008,9007)[2]> <VOLUME>
E. set_tag <..(0008,9007)[3]> <NONE> %%%"
Bad attribute Value Multiplicity 3 (4 Required by Module definition) Element=<ImageType> Module=<EnhancedCTImage>,"Bad attribute Value Multiplicity 3 (4 Required by Module definition) Element=<ImageType> Module=<EnhancedCTImage> %%% FIX IS - This is an enhanced CT volume and so it needs 4 entries here:
B. set_tag <(0008,0008)[0]> <ORIGINAL>
C. set_tag <(0008,0008)[1]> <PRIMARY>
D. set_tag <(0008,0008)[2]> <VOLUME> %%%
"
"Bad group - (0x0005,0x0005) ","Bad group - (0x0005,0x0005) %%% FIX IS - delete tag %%%"
Bad Sequence number of Items 0 (1-n Required by Module definition) Element=<ContourSequence> Module=<ROIContour>,"Bad Sequence number of Items 0 (1-n Required by Module definition) Element=<ContourSequence> Module=<ROIContour> %%% FIX IS - This means the Sequence is empty and it should not be empty in the ROI Contour Sequence (3006,0039) Contour Sequence Module (3006,0040). You may have to search through to find the empty Contour Sequence, it could be buried in between Contour Sequences that are not empty %%%"
Bad Sequence number of Items 0 (1-n Required by Module definition) Element=<ReferencedStudySequence> Module=<GeneralStudy>,Bad Sequence number of Items 0 (1-n Required by Module definition) Element=<ReferencedStudySequence> Module=<GeneralStudy> %%% FIX IS - This means the Sequence is empty. Look at the Sequence in the Element=<> brackets and at the Module <>. %%%
Bad Sequence number of Items 0 (1 Required by Module definition) Element=<AdministrationRouteCodeSequence> Module=<PETIsotope>,"Bad Sequence number of Items 0 (1 Required by Module definition) Element=<AdministrationRouteCodeSequence> Module=<PETIsotope> %%% FIX IS - Search in the DICOM Header using Quince for an AdministrationRouteCodeSequence that has 0 elements and if type 3 for the modality delete the tag. delete_tag <(0054,0302)> %%%"
"Frame Increment Pointer value is not present in dataset for value 0, which is (0x0018,0x1063) Frame Time",
"Invalid Value Representation - Pixel Data - VR = OB, Explicit VR, Bits Allocated = 16 exceeds 8 ","Invalid Value Representation - Pixel Data - VR = OB, Explicit VR, Bits Allocated = 16 exceeds 8 %%% FIX IS - If (0028,7FE0) is present, delete_tag (7fe0,0010) as it's only Required if Pixel Data Provider URL
(0028,7FE0) is not present. If (0028,7FE0) is not present, ignore error %%%"
"Length invalid for this VR : 20, expected <= 16","Length invalid for this VR : 20, expected <= 16 %%% FIX IS - to either shorten text or IGNORE - Posda will truncate %%%"
"Length invalid for this VR : 24, expected <= 16 ","Length invalid for this VR : 24, expected <= 16 %%% FIX IS - to either shorten text or IGNORE - Posda will truncate %%%"
"Length invalid for this VR : 30, expected <= 16","Length invalid for this VR : 30, expected <= 16 %%% FIX IS - to either shorten text or IGNORE - Posda will truncate %%%"
"Length invalid for this VR : 17, expected <= 16","Length invalid for this VR : 17, expected <= 16 %%% FIX IS - to either shorten text or IGNORE - Posda will truncate %%%"
"Length invalid for this VR : 18, expected <= 16","Length invalid for this VR : 18, expected <= 16 %%% FIX IS - to either shorten text or IGNORE - Posda will truncate %%%"
Lookup Table Data bad - Red Palette Color LUT - LUT Descriptor number of bits = 8 but maximum LUT Data value is 0 ,
LookupTableData bad - Blue Palette Color LUT - LUT Descriptor number of bits = 8 but maximum LUT Data value is 0,
LookupTableData bad - Green Palette Color LUT - LUT Descriptor number of bits = 8 but maximum LUT Data value is 0,
LookupTableData bad - Red Palette Color LUT - LUT Descriptor number of bits = 8 but maximum LUT Data value is 0,
Lookup Table Data bad - VOI LUT - LUT Descriptor number of bits,"Lookup Table Data bad - VOI LUT - LUT Descriptor number of bits  %%% FIX IS - ask site for help, if possible. Otherwise, ignore error %%%"
Lookup Table Data bad - VOI LUT - LUT Descriptor number of bits = 16 but maximum LUT Data value is 0x3ff,"Lookup Table Data bad - VOI LUT - LUT Descriptor number of bits = 16 but maximum LUT Data value is 0x3ff %%% FIX IS - Get help from site, otherwise ignore %%%"
Lookup Table Data has wrong length - Blue Palette Color LUT - LUT Descriptor number of,"%%% Ignore error and any text following ""entries ="" %%%"
Lookup Table Data has wrong length - Green Palette Color LUT - LUT Descriptor number of,"%%% Ignore error and any text following ""entries ="" %%%"
Lookup Table Data has wrong length - Red Palette Color LUT - LUT Descriptor number of,"%%% Ignore error and any text following ""entries ="" %%%"
LookupTableData has wrong length - Blue Palette Color LUT - LUT Descriptor number of ,"%%% Ignore error and any text following ""entries ="" %%%"
LookupTableData has wrong length - Green Palette Color LUT - LUT Descriptor number of ,"%%% Ignore error and any text following ""entries ="" %%%"
LookupTableData has wrong length - Red Palette Color LUT - LUT Descriptor number of ,"%%% Ignore error and any text following ""entries ="" %%%"
